Date,volume,high,low,adjclose,close,open,Row
10/01/2018 14:30:00,648600,72.839996338,70.150001526,72.690002441,72.690002441,70.389999390,181
03/08/2018 13:30:00,3449700,109.169998169,99.309997559,102.839996338,102.839996338,107.440002441,323
29/03/2018 13:30:00,682300,81.620002747,78.319999695,80.819999695,80.819999695,79.370002747,235
21/07/2017 13:30:00,506900,64.269996643,63.590000153,63.770000458,63.770000458,64.269996643,62
19/05/2017 13:30:00,1130300,60.889999390,59.470001221,60.340000153,60.340000153,60,19
16/11/2018 14:30:00,852200,119.569999695,114.370002747,116.040000916,116.040000916,116.440002441,397
22/02/2018 14:30:00,490900,83.099998474,81.639999390,81.940002441,81.940002441,82.419998169,210
10/05/2017 13:30:00,717800,60.75,59.419998169,60.479999542,60.479999542,59.919998169,12
20/04/2018 13:30:00,694500,84.910003662,83.650001526,83.819999695,83.819999695,84.019996643,250
12/12/2018 14:30:00,843400,131.820007324,128.789993286,128.830001831,128.830001831,129.5,413
24/05/2018 13:30:00,1123600,98.230003357,95.639999390,97.379997253,97.379997253,95.980003357,274
15/02/2019 14:30:00,895500,130.559997559,127.5,129.339996338,129.339996338,130.399993896,457
28/12/2018 14:30:00,758100,121.529998779,116.779998779,118.260002136,118.260002136,120.529998779,424
14/11/2017 14:30:00,361100,71.75,70.900001526,71.180000305,71.180000305,71.120002747,143
16/01/2018 14:30:00,700400,75.669998169,72.470001221,73.199996948,73.199996948,75.190002441,184
27/06/2018 13:30:00,463900,97.830001831,93.610000610,93.650001526,93.650001526,96.949996948,297
20/12/2017 14:30:00,407100,70.940002441,69.800003052,70.059997559,70.059997559,70.730003357,168
12/04/2018 13:30:00,447500,81.559997559,80.089996338,81.160003662,81.160003662,80.330001831,244
21/12/2018 14:30:00,1377100,120.019996643,111.319999695,112.279998779,112.279998779,119.870002747,420
06/07/2018 13:30:00,422800,102.860000610,101.099998474,102.680000305,102.680000305,101.099998474,303
27/12/2018 14:30:00,656000,119.910003662,115.180000305,119.900001526,119.900001526,116.569999695,423
28/11/2017 14:30:00,713500,71.480003357,70.760002136,70.940002441,70.940002441,70.839996338,152
11/12/2017 14:30:00,602600,72.069999695,70.940002441,71.190002441,71.190002441,71.790000916,161
14/03/2019 13:30:00,583500,132.050003052,127.559997559,130.440002441,130.440002441,129,475
23/02/2018 14:30:00,297700,83.290000916,82.029998779,83.279998779,83.279998779,82.300003052,211
28/06/2017 13:30:00,693900,65.040000916,63.639999390,64.129997253,64.129997253,64.910003662,46
22/05/2018 13:30:00,563300,95.190002441,93.849998474,94.269996643,94.269996643,94.779998779,272
21/09/2017 13:30:00,338900,75.669998169,74.540000916,75.430000305,75.430000305,75.5,105
17/12/2018 14:30:00,1220700,127.879997253,119.25,120.059997559,120.059997559,127.529998779,416
06/02/2018 14:30:00,3305900,80,76.279998779,79.300003052,79.300003052,78.389999390,199
24/09/2018 13:30:00,717700,111.510002136,107.900001526,110.959999084,110.959999084,109.489997864,358
25/08/2017 13:30:00,590100,73.370002747,71.690002441,71.809997559,71.809997559,72.230003357,87
01/11/2017 13:30:00,1356300,81.739997864,79.269996643,80.760002136,80.760002136,81.550003052,134
09/03/2018 14:30:00,641000,87.599998474,86.040000916,86.639999390,86.639999390,86.260002136,221
13/07/2018 13:30:00,487000,109.389999390,107.510002136,108.769996643,108.769996643,108.879997253,308
25/06/2018 13:30:00,1369100,96.589996338,92.010002136,93.669998169,93.669998169,96,295
27/09/2017 13:30:00,477800,75.940002441,73.910003662,75.650001526,75.650001526,74.349998474,109
04/04/2019 13:30:00,1435000,130.570007324,121.029998779,123.610000610,123.610000610,130.570007324,490
26/10/2018 13:30:00,855800,98.949996948,94.839996338,96.769996643,96.769996643,96.690002441,382
23/08/2018 13:30:00,548100,104.360000610,102.410003662,103.190002441,103.190002441,102.489997864,337
17/05/2017 13:30:00,1173100,61.340000153,60.169998169,60.229999542,60.229999542,60.75,17
31/01/2018 14:30:00,832500,77.470001221,75.879997253,76.809997559,76.809997559,76.720001221,195
20/03/2018 13:30:00,476800,83.830001831,82.410003662,83.589996338,83.589996338,82.489997864,228
16/03/2018 13:30:00,527400,84.949996948,83.019996643,83.330001831,83.330001831,84.610000610,226
