Field_1
"[12/05/2019, 13:31:51] Debora: Edward the King, the English King, rode on a dapple grey charger."
"[12/05/2019, 16:40:44] Hafeez: I wish to know the worth, said he, of my Welsh lands over the border."
"[12/05/2019, 19:38:32] Kolsuma: Is the grass rich for sheep and ox?"
"[12/05/2019, 19:46:54] Paul: Are the soil and rivers good?"
"[12/05/2019, 21:29:38] Bona: And are my provinces watered well by rebel patriots' blood?"
"[13/05/2019, 01:44:14] Natalia: And what of the people, the wretched people."
"[13/05/2019, 13:49:10] Tom  Prowse: Do they seem a contented folk?"
"[13/05/2019, 21:10:53] Kolsuma: Are they as docile, since I subdued them, as their oxen in their yoke?"
"[15/05/2019, 21:39:29] Hafeez: Your Majesty Wales is the fairest jewel."
"[16/05/2019, 22:22:54] Kolsuma: You have in all your crown, river and field and valley and hill are the best you may come upon."
"[16/05/2019, 22:26:02] Bona: And as for the people, the wretched people."
"[17/05/2019, 13:03:07] Joe?: They live so happily, Sir."
"[17/05/2019, 19:39:10] Tom  Prowse: Like so many graves their hamlets stand and none there even stir."
"[17/05/2019, 19:56:35] Kolsuma: Edward the King, the English King, rode on a dapple grey charger."
"[17/05/2019, 19:57:55] Kolsuma: Around him silence which way he want in his Welsh lands over the border. Montgomery the castle's name, where he that night remained."
"[17/05/2019, 19:57:56] Sam: The castle's lord, Montgomery, his monarch entertained."
"[17/05/2019, 22:05:32] Bona: There was fish and flesh and whatever else to sight and taste seemed good."
"[17/05/2019, 22:20:34] Sam: A rowdy throng, a hundred strong, bore in the heavy load."
"[18/05/2019, 13:16:00] Hanna Ny: All kinds were there, that isle could bear."
"[18/05/2019, 18:20:13] Hanna Ny: Of meat and drink, with these was bubbling wine that sparkling shone, carried from distant seas."
"[18/05/2019, 23:34:36] Hanna Ny: Ye Lords! ye lords! will no one here his wine glass with me clink?"
"[18/05/2019, 23:47:21] Bobby: Ye lords! ye lords! ye rude Welsh curs, will none the King's health drink?"
"[18/05/2019, 23:52:41] Hanna Ny: There is fish and flesh and whatever else to sight and taste seem best."
"[18/05/2019, 23:56:07] Bobby: That I can see, but the devil I know dwells in each noble's breast."
"[19/05/2019, 00:02:45] Bobby: Ye lords! ye lords! ye vile Welsh curs."
"[19/05/2019, 00:03:04] Sam: Come greet your Edward."
"[20/05/2019, 14:42:40] Sam: Where is the man to sing my deeds?"
"[21/05/2019, 09:47:17] Sam: A Welshman and a bard?"
"[24/05/2019, 10:49:56] Sam: Each night upon the other looked of the guests assembled there."
"[24/05/2019, 10:50:28] James: Upon their cheeks a furious rage paled to a ghastly fear and strangled breath from lips like death was all that could be heard, when, like a white defenceless dove arose an ancient bard, here there is one to tell thy deeds, chanted the ancient seer, the clash of battle, the hoarse death rattle, the plucked strings made them hear."
"[24/05/2019, 16:11:32] Hafeez: The clash of battle, the hoarse death rattle, on blood the sun setting."
